# stage, id, task_id, link_type, link_id, artifact_type, file_name, target_file
'Before', '1714', '149', 'test_metrics', '211', 'input_html', 'PX3.71_EURCHF_M30_1500_P-1388_DD1650_20220929-20250926_SL1800_WR41.67_PF0.43_T36_M1406717436_V1_S188-AI-Suggest-Opt-76-backtest_report.htm', 'PX3.71_EURCHF_M30_1500_P-1388_DD1650_20220929-20250926_SL1800_WR41.67_PF0.43_T36_M1406717436_V1_S188-AI-Suggest-Opt-76'
'After', '1714', '149', 'test_metrics', '211', 'input_html', 'PX3.71_EURCHF_M30_1500_P-1388_DD1650_20220929-20250926_SL1800_WR41.67_PF0.43_T36_M1406717436_V1_S188-AI-Suggest-Opt-76-backtest_report.htm', 'PX3.71_EURCHF_M30_1500_P-1388_DD1650_20220929-20250926_SL1800_WR41.67_PF0.43_T36_M1406717436_V1_S188-AI-Suggest-Opt-76'
'Before', '1715', '149', 'test_metrics', '211', 'input_set', 'PX3.71_EURCHF_M30_1500_P-1388_DD1650_20220929-20250926_SL1800_WR41.67_PF0.43_T36_M1406717436_V1_S188-AI-Suggest-Opt-76.set', 'PX3.71_EURCHF_M30_1500_P-1388_DD1650_20220929-20250926_SL1800_WR41.67_PF0.43_T36_M1406717436_V1_S188-AI-Suggest-Opt-76'
'After', '1715', '149', 'test_metrics', '211', 'input_set', 'PX3.71_EURCHF_M30_1500_P-1388_DD1650_20220929-20250926_SL1800_WR41.67_PF0.43_T36_M1406717436_V1_S188-AI-Suggest-Opt-76.set', 'PX3.71_EURCHF_M30_1500_P-1388_DD1650_20220929-20250926_SL1800_WR41.67_PF0.43_T36_M1406717436_V1_S188-AI-Suggest-Opt-76'
'Before', '1721', '149', NULL, NULL, 'Best Pass set_file', 'PX3.71_EURCHF_M30_1500_P-1388_DD1650_20220929-20250926_SL1800_WR41.67_PF0.43_T36_M1406717436_V1_S188-AI-Suggest-Opt-76.set', 'PX3.71_EURCHF_M30_1500_P-1388_DD1650_20220929-20250926_SL1800_WR41.67_PF0.43_T36_M1406717436_V1_S188-AI-Suggest-Opt-76.set'
'After', '1721', '149', 'test_metrics', '211', 'Best Pass set_file', 'PX3.71_EURCHF_M30_1500_P-1388_DD1650_20220929-20250926_SL1800_WR41.67_PF0.43_T36_M1406717436_V1_S188-AI-Suggest-Opt-76.set', 'PX3.71_EURCHF_M30_1500_P-1388_DD1650_20220929-20250926_SL1800_WR41.67_PF0.43_T36_M1406717436_V1_S188-AI-Suggest-Opt-76.set'
'Before', '1704', '149', 'test_metrics', '210', 'output_set', 'PX3.71_EURCHF_M30_1500_P-1388_DD1650_20220929-20250926_SL1800_WR41.67_PF0.43_T36_M1406717436_V1_S188.set', 'PX3.71_EURCHF_M30_1500_P-1388_DD1650_20220929-20250926_SL1800_WR41.67_PF0.43_T36_M1406717436_V1_S188'
'Before', '1705', '149', 'test_metrics', '210', 'summary_metrics_csv', 'PX3.71_EURCHF_M30_1500_P-1388_DD1650_20220929-20250926_SL1800_WR41.67_PF0.43_T36_M1406717436_V1_S188_summary_metrics.csv', 'PX3.71_EURCHF_M30_1500_P-1388_DD1650_20220929-20250926_SL1800_WR41.67_PF0.43_T36_M1406717436_V1_S188'
'Before', '1706', '149', 'test_metrics', '210', 'output_html', 'PX3.71_EURCHF_M30_1500_P-1388_DD1650_20220929-20250926_SL1800_WR41.67_PF0.43_T36_M1406717436_V1_S188.htm', 'PX3.71_EURCHF_M30_1500_P-1388_DD1650_20220929-20250926_SL1800_WR41.67_PF0.43_T36_M1406717436_V1_S188'
'Before', '1707', '149', 'test_metrics', '210', 'output_gif', 'PX3.71_EURCHF_M30_1500_P-1388_DD1650_20220929-20250926_SL1800_WR41.67_PF0.43_T36_M1406717436_V1_S188.gif', 'PX3.71_EURCHF_M30_1500_P-1388_DD1650_20220929-20250926_SL1800_WR41.67_PF0.43_T36_M1406717436_V1_S188'
'Before', '1708', '149', 'test_metrics', '210', 'ai_set', 'PX3.71_EURCHF_M30_1500_P-1388_DD1650_20220929-20250926_SL1800_WR41.67_PF0.43_T36_M1406717436_V1_S188-AI-Suggest-Opt.set', 'PX3.71_EURCHF_M30_1500_P-1388_DD1650_20220929-20250926_SL1800_WR41.67_PF0.43_T36_M1406717436_V1_S188'
'Before', '1709', '149', 'test_metrics', '210', 'ai_json', 'PX3.71_EURCHF_M30_1500_P-1388_DD1650_20220929-20250926_SL1800_WR41.67_PF0.43_T36_M1406717436_V1_S188-AI-Suggestion.json', 'PX3.71_EURCHF_M30_1500_P-1388_DD1650_20220929-20250926_SL1800_WR41.67_PF0.43_T36_M1406717436_V1_S188'
